prefix,reference,entity
site-of-special-scientific-interest,SZ457936,469612
site-of-special-scientific-interest,SZ457936,469612
site-of-special-scientific-interest,SZ457936,469612
site-of-special-scientific-interest,SZ457936,469612
site-of-special-scientific-interest,SZ457936,469612
site-of-special-scientific-interest,SD775435,467067
site-of-special-scientific-interest,SD775435,467067
site-of-special-scientific-interest,SD775435,467067
site-of-special-scientific-interest,SD775435,467067
site-of-special-scientific-interest,SD775435,467067
site-of-special-scientific-interest,SZ502903,469617
site-of-special-scientific-interest,SZ502903,469617
site-of-special-scientific-interest,ST844125,468796
site-of-special-scientific-interest,ST844125,468796
site-of-special-scientific-interest,ST844125,468796
site-of-special-scientific-interest,NY258122,466551
site-of-special-scientific-interest,TR022902,470563
site-of-special-scientific-interest,TR022902,470563
site-of-special-scientific-interest,TR022902,470563
site-of-special-scientific-interest,TR022902,470563
site-of-special-scientific-interest,TR022902,470563
site-of-special-scientific-interest,TL307999,469965
site-of-special-scientific-interest,SK022193,467538
site-of-special-scientific-interest,SK579872,467746
site-of-special-scientific-interest,ST705456,468734
site-of-special-scientific-interest,TG087374,469823
site-of-special-scientific-interest,SU786887,469115
site-of-special-scientific-interest,SP114642,468190
site-of-special-scientific-interest,SU925594,469189
site-of-special-scientific-interest,SU925594,469189
site-of-special-scientific-interest,SU925594,469189
site-of-special-scientific-interest,SU925594,469189
site-of-special-scientific-interest,SU925594,469189
site-of-special-scientific-interest,SU925594,469189
site-of-special-scientific-interest,SY617975,469518
site-of-special-scientific-interest,SY617975,469518
site-of-special-scientific-interest,SY617975,469518
site-of-special-scientific-interest,SJ618021,467458
site-of-special-scientific-interest,TQ387265,470379
site-of-special-scientific-interest,TQ387265,470379
site-of-special-scientific-interest,SV893145,469221
site-of-special-scientific-interest,TG101418,469824
site-of-special-scientific-interest,TG370040,469863
site-of-special-scientific-interest,TG370040,469863
site-of-special-scientific-interest,SO546087,467923
site-of-special-scientific-interest,TG012117,469810
site-of-special-scientific-interest,TM226581,470202
site-of-special-scientific-interest,TL343080,469974
site-of-special-scientific-interest,TL343080,469974
site-of-special-scientific-interest,TL343080,469974
site-of-special-scientific-interest,TL343080,469974
site-of-special-scientific-interest,TL343080,469974
site-of-special-scientific-interest,TL343080,469974
site-of-special-scientific-interest,SY966877,469562
site-of-special-scientific-interest,SY966877,469562
site-of-special-scientific-interest,SU507664,469023
site-of-special-scientific-interest,SU507664,469023
site-of-special-scientific-interest,SK456130,467680
site-of-special-scientific-interest,TQ602921,470465
site-of-special-scientific-interest,TQ602921,470465
site-of-special-scientific-interest,TQ602921,470465
site-of-special-scientific-interest,TQ602921,470465
site-of-special-scientific-interest,TQ602921,470465
site-of-special-scientific-interest,TQ602921,470465
site-of-special-scientific-interest,TR203381,470584
